EffectiveLiteracyRate,MarriedIlliterateWomen,SexRatio,MarriedBelowLegalAgeFemales,Schooling,ChildLabour,AvgTeachersPerSchool,StudentTeacherRatio,StudentClassroomRation,Class5DropOutRate
84.9,33.7,873,3.8,83.2,2.3,3.9,39,34,31
77.5,43.2,911,1.6,83.4,3.2,4.9,27,27,5.4
73.3,47,1016,1.5,91.5,3.4,4.9,40,35,4.03
73.1,48.5,1114,3,94.7,2.3,4.7,32,27,18.25
81,32,876,2.7,92.5,3.7,3.9,31,27,10.71
73.3,44.6,1105,3.3,94.7,2.2,5.2,33,32,21.72
80.2,34.5,859,2.1,90.4,1.6,4.1,45,35,2.35
58.6,74.4,896,17.6,76.8,6.8,3.2,49,35,37.39
74.9,43.4,993,4.6,95.1,2.5,4.9,32,35,21.67
53.5,73.8,1040,26.6,80.3,2.9,2.7,59,35,37.6
71.8,52,925,6.2,89,3.4,3.8,39,31,25.76
68.6,58.6,895,7.6,85.7,4.2,4.4,31,31,24.94
72.3,58.8,887,3.3,73.9,5.9,4.4,41,35,31.02
69.7,52.6,1068,6.2,91.1,2.6,3.8,39,31,12
78.8,44.3,963,0.4,84.9,2,3.7,36,31,12.4
67.1,66.7,916,11.3,72.6,3.1,3.9,40,31,24.07
78.6,41.3,912,1.2,86.2,1.8,4.2,34,31,17.6
73.5,40.2,994,19.5,92.1,3.8,4.6,39,29,19.24
69.1,60.9,911,7,90.6,3.4,3.8,37,32,20.83
72.7,47.2,1172,3.8,93.8,2.4,4.7,32,30,10.96
77.1,47.3,884,4,84.5,1.6,4.5,27,28,9.43
81.6,32.1,858,3.7,93.8,3.2,3.4,37,31,40.49
72.5,43,1016,5.9,93,2.4,4.8,29,28,11.7
76.1,47.5,869,3.8,87.6,3.6,4.2,33,28,8.82
74,48.5,920,0.7,89.6,2.8,4.2,27,25,14.99
81.9,34.5,900,3.6,88.5,2.6,4.1,35,30,24.72
86.9,27.2,837,5.1,93.1,1.2,6,39,32,22.61
88.3,23,863,1.2,89,1.8,5.5,49,38,20.21
75.7,42.4,1065,5.8,94.3,1,3.7,39,28,8.46
66.6,63.3,906,13.6,86.5,5.6,4.6,34,31,25.01
74.8,47.5,1074,3.7,92.5,3.2,4.9,33,31,19.31
73.6,45.9,862,2.6,91.8,2.8,4.5,25,26,21.03
70.7,59.4,878,5.5,84.6,5.7,4,41,35,37.4
79.6,44.9,869,3.7,86.4,1.9,3.9,31,27,12.19
75.8,41.8,881,4.7,89.4,5.4,3.6,29,26,19.24
75.9,44,1037,4.6,94.9,2,4.2,39,33,27.44
79.8,36.2,875,3.8,91.9,2.4,5.1,27,27,18.85
71.9,54.7,930,1.9,86.4,2.1,4.1,32,27,9.45
80.6,39.3,894,2.8,86,2.2,3.7,36,30,11.51
78.6,35.9,873,2.5,90.8,4.3,3.9,21,20,9.96
85.6,21.4,875,1.1,90.3,2.4,4.1,40,30,25.58
63.9,64.7,1032,2.2,86.6,3.4,3.6,41,30,27.7
69.2,57.8,888,6.9,82.9,4.8,3.9,37,31,26.72
67.1,53.4,1137,6.6,92.5,3.1,3.6,44,27,21.32
69.2,58.1,889,25.6,91.5,3.7,3.9,35,29,16.23
82.1,31.1,898,4.5,89.3,3.2,3.9,58,35,36.57
65.9,57.5,1133,14.6,92.5,3.1,3.1,60,37,24.68
70.7,50.1,887,5.2,88.9,3.4,3.2,38,28,17.37
83.9,30.4,885,2.4,91.7,1.3,4.9,25,27,24.51
81.3,39.6,876,6.5,85.3,2.1,4.4,37,36,43.12
80.3,38.1,901,2.7,83.9,2.3,5.1,35,32,21.17
71.8,48.5,963,10.1,90.8,2.6,4.1,38,29,26.66
71,56.2,902,2.6,80.9,3,5.3,32,29,13.22
77.8,44.3,888,2.1,83,2.2,4.3,33,27,17.68
71.6,58.8,880,7.8,78.5,4.4,3,46,28,21.14
71,49.8,947,1.9,87.9,3.1,3.9,32,30,17.87
68.6,65.5,905,2.3,73.9,6.5,3,59,42,40.17
80.4,37.6,919,1.5,82.9,2.4,4.6,27,25,12.14
71.9,54.5,854,8.3,79.9,3.2,3.3,45,31,23.1
51.8,75.2,984,28.9,80,4.1,4,32,27,27.65
60.5,64.1,1178,24.8,84.9,3.6,3,45,30,31.75
67.2,62,882,5,82,4.1,3.4,44,34,27.51
66.9,56.7,952,8.4,87.4,3.3,3.9,49,43,18.07
79.2,34.4,922,4.8,91.4,3,8.1,26,31,8.73
